VI Name,Status,Original Country,Primary Posting Language,First Appearance,Type (Mimic-real human/Animated human/Non-human),Brand?(Y/N),Sex,Instagram Handle,Instagram Followers (K),YouTube Channel,YouTube Followers (K),Twitter Handle,Twitter Followers (K),Spotify listeners (K),Facebook followers(K),TikTok followers (K),TikTok Likes (K),Area of Influence,Comments
Poka Poka,Dormant,China,Mandarin,2018,Mimic-real human,N,Female,poka_pokaka,1.5,NA,NA,NA,NA,NA,NA,NA,NA,Fashion & illustration,No posts since 2019
Amanda Bims,Active,France,English,2019,Mimic-real human,N,Female,amanda_bims,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",
Karolin XS,Dormant,Russia,Russian,2019,Mimic-real human,N,Female,karolinxs,1.3,NA,NA,NA,NA,NA,NA,NA,NA,"Technology, Digital",
Gaia,Dormant,France,French,2018,Mimic-real human,N,Female,frenchgaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model, Art",Possibly inactive. No posts in an year
Asya Strike,Dormant,Japan,Russian,2018,Mimic-real human,N,Female,asyastrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,"Possibly inactive. No posts in an year. Posts in Tokyo, but language is Russian"
Boffo the Bear,Active,USA,English,2019,Non-human,N,NA,boffothebear,NA,Boffo the Bear,0.458,BOFFOtheBEAR,0.304,NA,0.853,0.002,0.001,TV show,Added in March
Yona,Active,USA,English,2019,Mimic-real human,N,Female,y0000000000na,4,NA,0.82,NA,NA,0.063,NA,NA,NA,"Music, Art, Animation",
Meme Konichiwa,Active,Japan,Japanese,2019,Mimic-real human,N,Female,meme.konichiwa,4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",
Kayda,Active,USA,English,2020,Non-human,N,NA,kayda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animation (indirectly),Added in March
Ilona,Active,France,French,2017,Animated human,N,Female,ilona,6.8,Ilona Officiel,54.6,,,41.692,2,NA,NA,"Children, Vtuber, music",
Brenn Gram,Dormant,England,English,2018,Mimic-real human,N,Female,brenn.gram,3.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Virtual model. No posts since Sep 2020
Hannah Stein,Active,Germany,English,2018,Mimic-real human,N,Female,hey_mrs.stone,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Virtual model
Kim Zulu,Active,South Africa,English,2020,Mimic-real human,N,Female,kimzulu_,3.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",
Mia,Active,USA,English,2019,Animated human,N,Female,vida.de.mia,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Advertising",
Sylvia,Dormant,USA,English,2020,Mimic-real human,N,Female,myfriendsylvia,2.7,NA,NA,NA,NA,NA,NA,NA,NA,"Aging, Fashion",Was aged from young to old over several months and then officially declared as deceased. Added in March
likiamelia,Active,Russia,Russian,2020,Mimic-real human,N,Female,likiamelia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kids,
Mimi,Active,Japan,English,2020,Non-human,N,NA,mimiboto,2.2,NA,NA,NA,NA,NA,NA,NA,NA,"Gaming, Technology",Added in March
Ono Gram,Active,Unknown,English,2019,Mimic-real human,N,Female,ono.gram,2.3,NA,NA,NA,NA,NA,NA,NA,NA,"Art, Travel, Digital",
Galaxia Gram,Dormant,England,English,2018,Non-human,N,NA,galaxia.gram,2.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Possibly inactive. No posts in over six months
ASU,Active,Japan,Japanese/English,2020,Mimic-real human,Y,Male,asuu.gram,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,
Rae,Active,Singapore,English,2020,Mimic-real human,N,Female,here.is.rae,7.7,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,Added in March. Low comment activity
Vincent Venturas,Active,Spain,Spanish,2020,Non-human,N,NA,vincentventuras,4.2,NA,NA,VincentVenturas,0.112,NA,NA,NA,NA,Cartoons,
DJ Splitz,Active,USA,English,2020,Animated human,Y,Female,thedjsplitz,3.3,NA,NA,NA,NA,NA,NA,NA,NA,"Merchandise, Cosmetics",Added in March
Blu,Active,Puerto Rico,Spanish,2019,Animated human,N,Male,sadblupr,2,NA,NA,NA,NA,NA,NA,NA,NA,"Merchandise, Music",
Mina,Active,Unknown,English,2020,Mimic-real human,N,Female,itsminaswrld,2.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Added in March
Lisa Gen,Active,France,English,2020,Mimic-real human,N,Female,lisa_gen_paris_,4.5,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Added in March
Ark Hollow,Active,USA,English,2020,Non-human,N,NA,arkhollow,1.5,Ark Hollow,0.069,ArkHollow,0.003,0.216,NA,0.054,0.026,"Music, Art, travel, Inventing, Fashion",
Dana Beauvoir,Dormant,France,French,2019,Mimic-real human,N,Female,danabeauvoir,1.3,NA,NA,NA,NA,NA,NA,NA,NA,Sustainability,Posts lack comments. No posts on Insta in 2021
Zeevaah,Active,England,English,2020,Mimic-real human,N,Female,zeevaah,1.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Added in March
Robin Abree,Active,Italy,English,2018,Mimic-real human,N,Female,robinabree,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",
Ivan and Peter,Active,Germany,English,2020,Mimic-real human,N,Male,ivanandpeter,1.4,NA,NA,NA,NA,NA,NA,NA,NA,Music,
Aba Wils,Active,Ghana,English,2019,Mimic-real human,N,Female,abawils,1.6,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model, Music, Dance",
Nununu,Active,Finland,English,2019,Mimic-real human,N,Female,nununuofficial,1.1,NA,NA,NA,NA,0.466,0.827,NA,NA,Music,Added in March
Dadeko,Active,Unknown,English,2018,Mimic-real human,N,Female,dadeko_,11.1,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,
Gorillaz,Active,England,English,1998,Animated human,N,Male,gorillaz,3176,Gorillaz,8100,gorillaz,916.2,14413.3,10000,658.6,2400,Music,
Violet,Deceased,USA,English,2020,Avatar,N,Female,itsvi0let,0.688,itsvi0let,1.04,itsvi0let_,0.239,NA,NA,32.1,463.5,Gaming,Is an avatar. Also has 10K Twitch subscribers. Can't be considered VI
LaserBolt,Active,Unknown,English,2020,Mimic-real human,N,Male,gflaserbolt,0.608,LaserBolt,218,GFLaserBolt,3.4,NA,0.6,1.144,21.3,Gaming & Technology,"Added in March, TikTok link's dead"
Dion,Active,USA,English,2017,Mimic-real human,N,Female,dion.coin,0.648,NA,NA,NA,NA,NA,NA,NA,NA,Environmental Sustainability,
Replicah,Active,Japan,English,2017,Avatar,N,Female,re_plicah,23.8,REPLICÅH,0.004,re_plicah,12.7,NA,NA,NA,NA,"Fashion, Art, Music","Digital, visual, audio artist"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
